class	tweet
0	Ой в Америке так вообще все поголовно кушали прозак и ниче
0	Хорошее кино - это как таблетка прозака или кетанова. Важно не пропускать и не перебарщивать.
1	50.5 - спасибо Прозаку. Но остальные побочки выбешивают, где мой сон до вечера, встаю в 4 утра, каждый день, Карл.
0	Реклама имодиум - диарея совсем не кстати? Да я по пальцам двух не рук не посчитаю все ситуации когда диарея была кстати, конечно.
1	Ципрофлоксацин очень сильно давит на желудок, не принимайте его без надобности
0	Фонбет заебал почти как Сеалекс
0	а отца бы я отравила до банальности легко просто подсыпала бы в его выпивку пару пачек самого обыкновенного флуоксетина он и не заметит
1	съела сегодня какой то заграничный орех и начала задыхаться так сильно что мне помог только вентолин так я узнала что у меня на них аллергия
0	@PaleDollTM @britvan8 неее нет там диеты)) почитай про тот же триттико, он максимально безопасный)
1	@ineed_a_doctor_ НЕ НАДО ГЛЮКОФАЖ!!! ОСОБЕННО ЕСЛИ есть шансы на анемию. ИР прекрасно снимается диетой и берберином БЕЗ глюкофажа. От него может очень тошнить и он  блокирует усвоение Б12
0	короче я читал фанфик там диппер был болен раком спиздил оксикодон из больницы и четыре месяца жил припеваюче подорвал юанк лишил отца ног
1	Остаточная расслабленность тела весьма приятна. По идее тяга от прегабалина может быть до 18 часов
1	Я начинаю процедуру выползания из дома. Флуоксетин закончился, а без него такой откат будет, что вообще в овощ превращусь.
0	я пробовала и антигистаминные препараты и сальбутамол  не знаю
1	Привет, анон. Я умираю. Изначально мой кашель и приступы задыхания списывали на астму. Только что в клинике сказали, что астма - это следствие рака, а не причина. Мне очень плохо. Я живу на стероидных препаратах сейчас, на гормонах - Серетид, Сабакомб.
1	25. Как-то раз случайно (напившись) сожрала очень много ксанакса и проспала двое суток. Повторять не собираюсь
0	привет прозак, лучше бы ты был димедрол.
1	@FeelinaZ А ксанакс имеет моментальный эффект? Я ещё злюсь, что тот же феназепам не сразу помогает, эффект через несколько часов, когда уже не надо (а ещё хуже когда на работе накрывает, и хер ты что с этим сделаешь) Ну а в целом, лучше, когда хуево, перебрать с АД, чем повеситься))0)
1	@Lieslia_Sau Кровь, скорее, из-за того, что препарат оказался еще и сосудосуживающим - этого лучше не надо, там привыкание слизистой, если &gt;7 дн. Азеластин норм. Будесонид и Беклометазон еще хорошо - это глюкокортикоиды, но из-за местного применения на надпочечники не действуют.
0	Так вот, я потеряла за эту неделю всю работу над принятием себя, здравый смысл и здоровье за счает этого гребаного флуоксетина. Я просто хочу попросить вас, не ведитесь даже на самые сладкие словечки, если чувствуете неладное.
0	Заклеить задницу надо в первую очередь их главнюку, как только в автозак попадет, так срется и срется. Надо ему перед посадкой убойную дозу лоперамида скормить
1	Чувствую себя Элиотом который под аддералом 8 суток не спал мне необходимо как минимум 8 часов здорового сна
0	Оксикодон используется в медицине с 1917 года
1	@Riot_Ko и он уменьшает объем мозга, как и оланзапин
0	мне приснилось что я купил ксанакс и объебался им
0	Секрет хорошего настроения: 1 ципролекс + 0,5 ламиктал + 0,5 атаракс.
0	@govoritmsk насте на заметку :опиоид оксикодон применяется после очень тяжелых хирургических операций, после которых спорт уже не мировой.
0	Пара питерских нет-нет было совершено: съедены русские устрицы в респектабельном ресторане и съеден бутерброд с красной финской рыбой из вакуума с просрочкой три дня (но вакуум, правда, только вскрыт). Сижу, жду отравления, зажал в потных ладошках цифран и трясусь.
1	я триттико пью, он нетипичный и повышает либидо хихи :D тоже СИОЗС больше не выписывают
1	ну не хочу я спать по 2 дня подряд (фенибут) или же страдать от головной боли (атаракс, флуоксетин), не хочу жить без всего спектра эмоций (флуоксетин)
1	сука, вспоминаю как в ночь на пятницу ко мне во сне под баклофеном пришел дремин и затер за жизнь и, блять, был максимально прав
1	Препарат снимает спазм легких, который свойственен для астмы. Вы сколько не бегайте, устанете, но бронхоспазма у вас не будет. Вы тоже можете попробовать вентолин после бега - ничего не изменится.
1	Прегабалин отстань я тебя не буду кушац
1	Это флувоксамин! Другой препарат и стоит в десять раз больше флуоксетина :( Я сама думала, что вот Грандаксин мне не нужен, потому что ПА у меня прошли, но врачиня сказала принимать. Возможно, у меня и правда тревожность, просто я уже не замечаю, что можно по-другому.
1	Если не знаешь ОРЗ у тебя или ОРВИ-выпей антигриппин от UPSA. Не вылечит, но симптомы снимет.Ежели грипп,то тамифлю или реленза (они рекомендованы ВОЗ).Остальное ( типа кагоцел,ингавирин)-шляпа
1	Это даже не нервная система, это уже психика будет задействована( Однажды мне прописали сибутрамин, который Лорик пила - я чуть не сдохла в первые же три дня, были дикие головные боли( А Лорик вон прекрасно переносила, правда, её причина в другом
0	На упаковке таблеток Крестор стоит штрихкод России. Как это понимать? Их что в рф стали производить?
1	А Тамифлю таки работает, братцы! Даже, когда, кажется, уже все сроки прошли! Голос, правда, пропал, но появилась надежда на светлое будущее! 😀 Кстати, наша больничная касса Маккаби распространяет препарат по рецепту бесплатно. Мелочь, но приятно!
0	@just_Atlant @tea_man3_ Вальдоксан.  Фу блять, я на флуоксетине почти год сидел, по итогу попытка суицида и стационарное лечение, но я мешал и с алкоголем, и с наркотиками, может от этого ))0)
0	НЛП) из Налоксона можно делать Оксикодон, через четвертичную соль метилйодистым и восстановление лагом или этаноламином) НЛП соси быдло НЛП
1	От Паксила вроде сорок и набрал, и либидо на нем нулевое было, да
1	я нашла отличный аналог флуоксетину со стороны отбивания аппетита
1	Вот русский флуоксетин хороший, ядрёный, крепкий, выпьешь таблетку, ходишь припизднутый и ебись оно всё в рот, сразу видно русские люди делали.  Не то что бездуховный австрийский, аккуратненький такой, очищенный, чтобы тонкую психику толерантного европейца не повредить, тьфу.
0	Из всех антидепрессантов больше всего котирую амитриптилин: - стоит 30-50 рублей - седация збс - не блюешь с него как сука и не дрищешь (привет, Элицея) - зрачки не как у наркомана (привет, Паксил) - охуенно работает на любую хроническую боль - лоперамид тебе уже не нужен
1	На прощанье доктор попугал меня ломками после привыкания к прозаку и сменой АД.
0	@vlaskinalina Кто приехал ночевать в квартиру с кошкой и забыл сальбутамол, и теперь смотрит все соц сети и хочет дышать 👻
1	Какие же от венлафаксина красивые блестящие глаза, который день умиляюсь.
1	вот реально от прозака нехорошие мысли появляются х_х
0	люди могут сколько угодно пиздеть против таблеток, но в последние два дня я начала напоминать живого человека и кушоть, а также больше не смотрю по ночам кошмары про смерть и конца света  спасибо г-ну Флуоксетину, а также г-ну Эглонилу
1	54. кстати, индивидуальных побочек может быть больше, чем вы думаете. никогда не знаешь, окажешься ли ты в том самом "очень редко" или нет. потому что далеко не всех так колбасит и убивает с велаксина или того же депакина. и никто тебя не застрахует.
0	Я кароч взял ссобой рюкзак . И тут есть пачка флуоксетина и пачка фенибута. Мммм
0	Система "Оранж" работает уже более пяти лет и к реформе не имеет отношения. Вам нужно у лечащего врача выписать рецепт на бесплатный Серетид и получить его в аптеке - это и будет проверка работы реформы. Желаю удачи.
1	уже часов двенадцать почти постоянно тошнит (побочка от паксила) кмп надеюсь скоро пройдёт и станет лучше
0	Сааамыый страшный коктейль,тут ответ простотой.нет ничего хуже пива с пароксетином и асентрой
0	-четвертый стакан. -и ты живая. -я живая. -под прозаком. -дааа! под прозаком!^^
1	Я чувствую себя лучше, я пытаюсь справляться. И у меня получается, пусть и не так быстро. Я все еще не могу ночью спать из-за голосов, но я уже контролирую свои бредовые идеи, меньше истерю. Это моя 3 серьезная попытка бросить флуоксетин. И последняя, потому что я молодец:3
1	Если я допью всю пачку Метопролола, то у меня может остановиться сердце. Эта мысль не даёт мне покоя.
1	(дисклеймер? панчлайн? ю нейм ит) мне 23 и ~ последние 3 года я работаю над изживанием wounded child внутри себя (с переменным успехом) (последний год с помощью ламотриджина спасибо ему!!) потому что сичас-то всё не так и мы победили эту хуйню
1	65. на флуоксетине я сбросила ~7 кг. вес не вернулся до сих пор. совмещала с шоколадной диетой. не советую, но результат держится
0	Даже неловко спрашивать, ничего, если после амитриптилина пару дней буду пить симбалту.  🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️ Саша, ну в кого ты такая, ну
1	@JiverGrayn Без твоей воли тебя ни к кому не отправят. Не могут просто, пока ты с ножом на людей кидаться не начнёшь.  Я два месяца на флуоксетине, и из меня не сделал. Он относительно новый, возможно, пофиксили старую версию лекарства. Из побочек: мёртвое либидо и сниженный аппетит. Всё.
1	еще блин Вове врач прописал антибиотик цифран, а я вспомнила, что это уеба, от которой меня жутко мутило, и я еще тогда бросила его пить.   Ну подумала, типа Вове мб норм будет  а нет, его тоже от него тошнит(
1	психотерапевтка позвонила спросить как дела че ответить?нормально проспала под ксанаксом 19 часов?
1	Фенозепам отключает память. Лучше фенибут, прегабалин, алпрозолам. Или мдма и каннабис)
1	опять спать не могу. ето удвоение ламотриджина или гипомания душит?
1	@shizoWizard это все тот же велафакс, я по любому буду валяться пару часов без понимания реальности
1	позавчера моя психиаторка сказала что от моих лекарств может быть запор а я такой ЧЁ САФРИС НЕ ТОЛЬКО ВЫГЛЯДИТ КАК ИМОДИУМ НО И ДЕЙСТВУЕТ?))
0	плюс форадил у нас только в двух аптеках на весь город, видимо никто о нем и не знает.
1	@comrade_wolgast Мой психиатр очень критиковал назначение мне флуоксетина после подростковой попытки суицида. Говорил: «Серьезно? Назначать препарат, который вызывает самое выраженное усиление суицидальных тенденций?» Но мне норм с ним было, убить себя больше точно не хотелось.
0	@dirtyserpent Ну, считай что ничего и не советовал. Мозг настолько сложный инструмент, что наивно верить в оптимизаторы. См. "Талидомид" ;-)
1	Нету там уже сибутрамина давно(((((((( больно он хорошо помогает, невыгодно им нас худеть
0	джyбили: таблетки, таблетки, таблетки я: Я СНОВА ЗАКИДЫВАЮСЬ ПАКСИЛОМ
1	Штош, это была максимально отвратительная ночь, еще и голова теперь болит. Будет мне уроком. Из-за этого я собирался высраться очень тяжелым текстом, но я себя пересилил. Без кветиапина очень хуево.
1	Моя мама полгода пила флуоксетин, назначенный неврологом (в России неврологи имеют право выписывать психоактивные препараты) и была вполне несчастлива. Личный опыт - дело такое. Ошибка выжившего, все дела. Есть официальные исследования и доказательная медицина.
1	Аххах это как я принимал триттико, меня врач невропатолог спрашивает, вам лучше я говорю нет, она что совсем? Я говорю ещё хуже)))). От них по утрам тяжело вставать оооооочень тяжело.
1	А помнишь Элис как март 2012го просто проспала весь. на прозаке. вот ведь классно было.
0	Что поделать, такая жизнь.Тоже когда то флуоксетин пила, но он ни о чем..
0	@easinetrue @warden_twt значит дело в самодисциплине прозак тебе не поможет дерзай!
1	у тебя нет сонливости от него? меня последнее время рубит днем. понять не могу, то ли у меня спидорак какой, то ли флуоксетин так начал действовать
1	Выпил ксанакса Приспал, и мне приснилось, что я президент России Недалёкое будущее, лигалайз – всё, как вы просили Нога затекла, ссать охота, зато настроение стало ощутимо позвонче Я люблю Россию, Россия любит меня, мы поможем друг другу кончить
1	Детишки, по возможности не мешайте редбул с парацетамолом, лазолваном, эргофероном, прозаком и новопасситом. Меня снова вмазало((((
1	За выходные долечилась, убралась в квартире и в клетке у крыс, съездила на дачу, сходила в магазин, приготовила еды и СРАЗУ после готовки помыла посуду. Флуоксетин заебись!
1	После утренней дозы кветиапина адски клонит в сон. С трудом держусь.
0	Исследования по Пароксетину не читал, но вообще у моих пациентов, которым Паксил назначают, субъективно есть ощущение того, что он помогает и побочек сильных не даёт.
0	Ципролет (ципрофлоксацин) попробуй пропить. Помогает. Проверено.
0	Сейчас ограничился тем, что весь отпуск провалялся дома (хорошо, что есть X-box). Пил Ципрофлоксацин 10 дней и Канефрон 20 дней.
0	на то он и юморист,я представляю,если бы какой-нибудь томкруз сказал амерам,что они дебилы на прозаке и опиатах
0	Накоплена информация о чувствительности вируса гриппа А к препаратам озельтамивир и занамивир. Гриппу А насрать на амантадин и ремантадин.
0	я могу пойти только за ксанаксом
0	@KuzneczovaLena1 в Америке при гиперактивности и дефиците внимания прописывают аддерал (амфетаминов препарат), мб, прост амфетамин подойдет?
0	- что кушаешь? - кветиапин
0	Убойный коктейль из мелатонина, ламотриджина и аминофенилмасляной кислоты на ночь превратил моё пробуждение в неподъёмную цель
1	постоянных снов о матери, в которых теперь начал появляться ещё и отец. сейчас вот проснулась после очень долгого яркого и тяжёлого сна и так гадко, но плакать не получается, потому что даже десятидневный курс флуоксетина запер слёзки внутри и прорыдаться не выйдет
1	выпить утром кветиапин = спать весь рабочий день
0	мой флуоксетин не завозили в аптеку с июня СУКА ЧТО ДЕЛАТЬ
1	симбалта/иксель но симбалта лучше именно для сосредоточения и повышения самоконтроля и силы воли а иксель больше просто энергию даёт и ещё делает тебя злым и хорни эз фак так что не наш выбор
0	@@@@@@@@ как же у меня жопу разорвало когда я узнала что бывшему моей близкой подружайки что ходит к тому же п-терапевте что и я когда-то ходила прописали оригинальный пароксетин а мне ебаный дженерик пиздец 👍👍👍👍👍👍👍👍
1	Возможно, его пора заменить на другой препарат. Спросите своего врача. Но лично у меня после начала апатии в ходе приёма паксила, врач просто заменил лекарство, и все окей
1	3. при этом я никак не могла отказаться от таблеток, потому что в том состоянии, в котором я приползла в марте, меня чуть не положили в больничку.  поэтому изначально мне впихнули велаксин.   велаксин это исчадие ада, особенно если вы берете российский дженерик (не надо так)
1	Ебашим флуоксетин, клиническая повторная депрессия, класс блять.
1	Опубликованы результаты сисиемных наблюдений по ингибиторам протонной помпы.  У принимающих препараты этой группы (омепразол,эзомепразол, ланзопразол) существенно увеличиваются шансы на развитие тяжелого поражения почек https://t.co/Zks9xCYCxW
1	От кветиапина мышцы сами не свои, от венлафаксина тревожно, от сативы паника, от гарсона ступор
0	у всей нашей либеростни понос.имодиум не спасает от такого:))
1	раньше паксил назначали, но теперь с него параноит
0	Почему я восстал из мёртвых после сегодняшней пьянки, и даже пришёл на первую пару, а лил пип после ксанакса ещё не может отойти?
1	Забыла вчера выпить алпразолам перед сном - страдала бессонницей до четырёх утра, пока не встала и не пошла за таблеткой. Не знаю, что это было. Совпадение и самовнушение или реально такой эффект.
0	Вот вот, ну был и был, отьехал от палённого Ксанакса, доигрался в "реальную жизнь"
1	блять моё супердорогое лекарство кончилось 3-4 дня назад а я уже чувствую эту тяжесть в груди слышу хрипы как напряжно лежать даже на боку и у меня НАЧИНАЕТСЯ ПАНИКА ИЗ-ЗА ЭТОГО паникую что мне снова придётся брызгать сальбутамол снова вся эту хуйня не меньше 8 приступов за сутки
1	Все заебись на велаксине  Ваще эйфория
0	впрочем, у  меня в это время года всегда проблемы, в прошлом я в это время ваще сидела на флуоксетине, ну там было трудно не.благо такой необходимости нет и не будет, аминь
1	«Имодиум» быстро и эффективно избавит вас от «Даниссимо».  #FollowBack #FF_RU
0	говорила баба ебарь симбикорт астматик полудохлый нет зачем это мне лучше в интернетах посижу
0	Это вроде как прозак, серьезные таблеточки
0	@zdravglav лекарства нет! Когда можно будет получить Багомет для диабетиков?
0	Нужно таки было паксил с собой взять
1	не принимал сегодня метформин и наконец-то чувство будто все внутренности что-то разъедает исчезло.
1	- от флуоксетина только похудеешь, у меня есть феназепам - феназепам-пам-пам
1	Начал принимать метформин и тут выпил пару бокалов вина. Как же меня унесло! Пошёл по коридору из спальни на кухню и меня так повело! Я ебнулся об угол стены как та кошка из двора об колесо и исцарапал руку. Ну и ну
0	и есть ли смысл принимать ламиктал если мне он перестал помогать
0	Паша летящий в космосе на ксанаксе, каеф
0	@like_merry а, ты об этом хд просто прозак короче :D а смысол один и тот же хд
0	Во мне таблетка феназепама и каптоприла. Пора завести метопролол?
1	опытным путем пришла к выводу: флуоксетин мне надо пить с перерывами иначе начинает херачить к ночи па снихуя + фенибут на постоянке
0	У всех кошечки, собачки, а у меня Ксанакс
1	первые несколько дней на велаксине все было как и до него на прозаке, и тут В КОНЦЕ РАБОЧЕГО ДНЯ МЕНЯ НАКРЫЛА, добралась домой не помню как
1	эутирокс. гормон ттг у меня был понижен, все из-за него.
0	"Потрясающе" замедленно себя чувствую. Удвоила дозу флуоксетина - слишком сильно  заебывает все, нужно еще немного продержаться
1	когда пиздецкое воспаление сочетается с подъемом на прозаке, получается странно  покашляла кровью, настроение превосходное
1	Судмедэксперт почти не ест. Гэвин сам не страдает переизбытком аппетита, в основном из-за флуоксетина, но систематически берет кофе и какую-нибудь булочку в кафетерии. Ричард берет только чай. Обед, как Рид узнал из сплетен стажерок, тот тоже не носил. И жил на чае с 8 до 20.
0	Вот это строка в резюме: заменил актёра из сеалекса!
0	Начал подъедать свои запасы кветиапина пролонг. Уже чувствую, что меньше хочу спать и сохраняю более работоспособное состояние. Но постоянно теперь думаю, что это ненадолго, потому что Квентиакса СР у поставщиков нет.
1	БЛЯ сейчас у подруги на балконе встретила упаковку флуоксетина, первая мысль: сцапать 2 шт, чтоб не видно было. когда она вернулась, сказала ей, и она убрала. по чувствам беспомощность, злость, грусть, разочарование, бессилие
1	помните, росомаха в последней части был такой болезненный и побитый, потом сделал себе инъекцию зеленой штуки, воспрял, начал бегать и всех крошить, а через 10 минут действие лекарства кончилось, и он снова стал дряхлым и хромающим?  вот у меня такая же ситуация с сальбутамолом
1	хочешь спать - не можешь до 4 утра, хочешь позалипать в какую-либо хуйню в два часа ночи - рубит как на отходах от ксанакса
1	слезла с золомакса и мне так плохо. руки дрожат, сердце бьется как бешеное, голова кружится  чуть не упала в душе
1	По назначению врача сегодня планово начала принимать антибиотик Левофлоксацин. Скажу я вам, давно у меня таких приходов не было. Сознание спутанное, взгляд не фокусируется, мысли убегают. Вот это побочка, вот это я понимаю 😆
1	Я уже и забыла что отменять венлафаксин НИХУЯСЕБЕ ПОМОГИТЕ
0	Потому что работают те же , кто орал о смертельном гриппе для покупки Тамифлю
1	Венлаксор, мой старый добрый друг! Мы несколько лет не виделись, но судьба снова свела нас вместе, возрадуемся же. Зато теперь буду спать, ура.
0	5 друзей уже на флуоксетине  ну класс
1	было дело - Амизон, Цифран, много пил тёплой воды, только так.
1	у меня это кветирон - принимаешь и отрубаешься без шанса проснуться часов на 10
1	я с флуоксетина вообще с катушек слетела и это был пипоц
0	В аптеку пришёл мужчина наркотической наружности за баклосаном. Сказал, что ему очень плохо, что рецепт в Выборге, он опаздывает Я развернула его без рецепта домой Он сказал, что я жадина, бяка, бука и показал мерзкий язык
1	@oliverjdufflyn а потом понимаешь, что чувствовать хоть что-то - это не так плохо. а побочки у прозака мерзейшие.
1	Да флуоксетин, т.к. от него аппетит уменьшается и он дешёвый
0	Выпила пачку флуоксетина. Может послать все к чертям ?
1	Бабушка с диабетом второго типа наелась метформина и пошла в поликлинику сдавать кровь на сахар натощак. Там она упала в обморок из-за развившейся гипогликемии Что примечательно, она не может установить причинно-следственную связь между этими двумя событиями
0	Шош, мне выписали флуоксетин и атаракс.
1	Омг, у одной клиентки моего психотерапевта голова раскалывается от флуоксетина
0	а потом лоперамид один до, второй после стула ггг
0	Тюмень : Купить флуоксетин без рецепта
0	бой с тенью или игра с самим собою нужен ксанакс
1	походу лоперамид сломал мой желудок к хуям
0	@DblM__ @drkstnightmare Типа пить сиропчики, чтоб и вкусно и полезно и потому что на диете? Бляяяя я бы не додумалась наверное до такого Единственные таблетки, которые я пила, начитавшись всяких типичных анорексичек - это флуоксетин
0	Маршмеллоу, какао и не-помню-как-называется  Ну и Нация прозака
0	гайс, короче, важная инфа. если у кого-то вдруг тоже возникнет этот вопрос - Сероквель из аптек пропал, пока совсем. как минимум в СПБ, Москве, НиНо и ещё в некоторых городах да это важно потому что прежде чем я узнала это я объездила около 15 аптек на разных концах своего города
1	Кстати! Только осознала что я без паксила уже 3 месяца. Причем довольно тяжелые и насыщенные три месяца. Надеюсь, что я слезла с антидепрессантов окончательно
